"LOCATION","Country","INDICATOR","Indicator","MEASURE","Measure","INEQUALITY","Inequality","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"BRA","Brazil","HO_BASE","Dwellings without basic facilities","L","Value","TOT","Total","PC","Percentage","0","Units",,,6.7,,
"CHL","Chile","HO_BASE","Dwellings without basic facilities","L","Value","TOT","Total","PC","Percentage","0","Units",,,9.4,,
"EST","Estonia","HO_BASE","Dwellings without basic facilities","L","Value","TOT","Total","PC","Percentage","0","Units",,,7.2,,
"ISR","Israel","HO_BASE","Dwellings without basic facilities","L","Value","TOT","Total","PC","Percentage","0","Units",,,4.4,"E","Estimated value"
"RUS","Russia","HO_BASE","Dwellings without basic facilities","L","Value","TOT","Total","PC","Percentage","0","Units",,,14.4,,
"SVN","Slovenia","HO_BASE","Dwellings without basic facilities","L","Value","TOT","Total","PC","Percentage","0","Units",,,0.6,,
"OECD","OECD - Total","HO_BASE","Dwellings without basic facilities","L","Value","TOT","Total","PC","Percentage","0","Units",,,2.1,,
"AUS","Australia","HO_BASE","Dwellings without basic facilities","L","Value","MN","Men","PC","Percentage","0","Units",,,1.1,"E","Estimated value"
"AUT","Austria","HO_BASE","Dwellings without basic facilities","L","Value","MN","Men","PC","Percentage","0","Units",,,1,"E","Estimated value"
"BEL","Belgium","HO_BASE","Dwellings without basic facilities","L","Value","MN","Men","PC","Percentage","0","Units",,,2.1,"E","Estimated value"
"CAN","Canada","HO_BASE","Dwellings without basic facilities","L","Value","MN","Men","PC","Percentage","0","Units",,,0.2,"E","Estimated value"
"CZE","Czech Republic","HO_BASE","Dwellings without basic facilities","L","Value","MN","Men","PC","Percentage","0","Units",,,0.7,"E","Estimated value"
"DNK","Denmark","HO_BASE","Dwellings without basic facilities","L","Value","MN","Men","PC","Percentage","0","Units",,,0.5,"E","Estimated value"
"FIN","Finland","HO_BASE","Dwellings without basic facilities","L","Value","MN","Men","PC","Percentage","0","Units",,,0.6,"E","Estimated value"
"FRA","France","HO_BASE","Dwellings without basic facilities","L","Value","MN","Men","PC","Percentage","0","Units",,,0.5,"E","Estimated value"
"DEU","Germany","HO_BASE","Dwellings without basic facilities","L","Value","MN","Men","PC","Percentage","0","Units",,,0,"E","Estimated value"
"GRC","Greece","HO_BASE","Dwellings without basic facilities","L","Value","MN","Men","PC","Percentage","0","Units",,,0.5,"E","Estimated value"
"HUN","Hungary","HO_BASE","Dwellings without basic facilities","L","Value","MN","Men","PC","Percentage","0","Units",,,5.3,"E","Estimated value"
"ISL","Iceland","HO_BASE","Dwellings without basic facilities","L","Value","MN","Men","PC","Percentage","0","Units",,,0,"E","Estimated value"
"IRL","Ireland","HO_BASE","Dwellings without basic facilities","L","Value","MN","Men","PC","Percentage","0","Units",,,0.1,"E","Estimated value"
"ITA","Italy","HO_BASE","Dwellings without basic facilities","L","Value","MN","Men","PC","Percentage","0","Units",,,0.8,"E","Estimated value"
"JPN","Japan","HO_BASE","Dwellings without basic facilities","L","Value","MN","Men","PC","Percentage","0","Units",,,6.4,"E","Estimated value"
"KOR","Korea","HO_BASE","Dwellings without basic facilities","L","Value","MN","Men","PC","Percentage","0","Units",,,4.2,"E","Estimated value"
"LUX","Luxembourg","HO_BASE","Dwellings without basic facilities","L","Value","MN","Men","PC","Percentage","0","Units",,,0.1,"E","Estimated value"
"MEX","Mexico","HO_BASE","Dwellings without basic facilities","L","Value","MN","Men","PC","Percentage","0","Units",,,4.2,"E","Estimated value"
"NLD","Netherlands","HO_BASE","Dwellings without basic facilities","L","Value","MN","Men","PC","Percentage","0","Units",,,0,"E","Estimated value"
"NZL","New Zealand","HO_BASE","Dwellings without basic facilities","L","Value","MN","Men","PC","Percentage","0","Units",,,0.3,"E","Estimated value"
"NOR","Norway","HO_BASE","Dwellings without basic facilities","L","Value","MN","Men","PC","Percentage","0","Units",,,0,"E","Estimated value"
"POL","Poland","HO_BASE","Dwellings without basic facilities","L","Value","MN","Men","PC","Percentage","0","Units",,,3.1,"E","Estimated value"
"PRT","Portugal","HO_BASE","Dwellings without basic facilities","L","Value","MN","Men","PC","Percentage","0","Units",,,1,"E","Estimated value"
"SVK","Slovak Republic","HO_BASE","Dwellings without basic facilities","L","Value","MN","Men","PC","Percentage","0","Units",,,1.3,"E","Estimated value"
"ESP","Spain","HO_BASE","Dwellings without basic facilities","L","Value","MN","Men","PC","Percentage","0","Units",,,0.1,"E","Estimated value"
"SWE","Sweden","HO_BASE","Dwellings without basic facilities","L","Value","MN","Men","PC","Percentage","0","Units",,,0,"E","Estimated value"
"CHE","Switzerland","HO_BASE","Dwellings without basic facilities","L","Value","MN","Men","PC","Percentage","0","Units",,,0,"E","Estimated value"
"TUR","Turkey","HO_BASE","Dwellings without basic facilities","L","Value","MN","Men","PC","Percentage","0","Units",,,7.6,"E","Estimated value"
"GBR","United Kingdom","HO_BASE","Dwellings without basic facilities","L","Value","MN","Men","PC","Percentage","0","Units",,,0.4,"E","Estimated value"
"USA","United States","HO_BASE","Dwellings without basic facilities","L","Value","MN","Men","PC","Percentage","0","Units",,,0.1,"E","Estimated value"
"BRA","Brazil","HO_BASE","Dwellings without basic facilities","L","Value","MN","Men","PC","Percentage","0","Units",,,6.7,"E","Estimated value"
"CHL","Chile","HO_BASE","Dwellings without basic facilities","L","Value","MN","Men","PC","Percentage","0","Units",,,9.4,"E","Estimated value"
"EST","Estonia","HO_BASE","Dwellings without basic facilities","L","Value","MN","Men","PC","Percentage","0","Units",,,7.2,"E","Estimated value"
"ISR","Israel","HO_BASE","Dwellings without basic facilities","L","Value","MN","Men","PC","Percentage","0","Units",,,4.4,"E","Estimated value"
"RUS","Russia","HO_BASE","Dwellings without basic facilities","L","Value","MN","Men","PC","Percentage","0","Units",,,14.4,"E","Estimated value"
"SVN","Slovenia","HO_BASE","Dwellings without basic facilities","L","Value","MN","Men","PC","Percentage","0","Units",,,0.6,"E","Estimated value"
"AUS","Australia","HO_BASE","Dwellings without basic facilities","L","Value","WMN","Women","PC","Percentage","0","Units",,,1.1,"E","Estimated value"
"AUT","Austria","HO_BASE","Dwellings without basic facilities","L","Value","WMN","Women","PC","Percentage","0","Units",,,1,"E","Estimated value"
"BEL","Belgium","HO_BASE","Dwellings without basic facilities","L","Value","WMN","Women","PC","Percentage","0","Units",,,2.1,"E","Estimated value"
"CAN","Canada","HO_BASE","Dwellings without basic facilities","L","Value","WMN","Women","PC","Percentage","0","Units",,,0.2,"E","Estimated value"
"CZE","Czech Republic","HO_BASE","Dwellings without basic facilities","L","Value","WMN","Women","PC","Percentage","0","Units",,,0.7,"E","Estimated value"
"DNK","Denmark","HO_BASE","Dwellings without basic facilities","L","Value","WMN","Women","PC","Percentage","0","Units",,,0.5,"E","Estimated value"
"FIN","Finland","HO_BASE","Dwellings without basic facilities","L","Value","WMN","Women","PC","Percentage","0","Units",,,0.6,"E","Estimated value"
"FRA","France","HO_BASE","Dwellings without basic facilities","L","Value","WMN","Women","PC","Percentage","0","Units",,,0.5,"E","Estimated value"
"DEU","Germany","HO_BASE","Dwellings without basic facilities","L","Value","WMN","Women","PC","Percentage","0","Units",,,0,"E","Estimated value"
"GRC","Greece","HO_BASE","Dwellings without basic facilities","L","Value","WMN","Women","PC","Percentage","0","Units",,,0.5,"E","Estimated value"
"HUN","Hungary","HO_BASE","Dwellings without basic facilities","L","Value","WMN","Women","PC","Percentage","0","Units",,,5.3,"E","Estimated value"
"ISL","Iceland","HO_BASE","Dwellings without basic facilities","L","Value","WMN","Women","PC","Percentage","0","Units",,,0,"E","Estimated value"
"IRL","Ireland","HO_BASE","Dwellings without basic facilities","L","Value","WMN","Women","PC","Percentage","0","Units",,,0.1,"E","Estimated value"
"ITA","Italy","HO_BASE","Dwellings without basic facilities","L","Value","WMN","Women","PC","Percentage","0","Units",,,0.8,"E","Estimated value"
"JPN","Japan","HO_BASE","Dwellings without basic facilities","L","Value","WMN","Women","PC","Percentage","0","Units",,,6.4,"E","Estimated value"
"KOR","Korea","HO_BASE","Dwellings without basic facilities","L","Value","WMN","Women","PC","Percentage","0","Units",,,4.2,"E","Estimated value"
"LUX","Luxembourg","HO_BASE","Dwellings without basic facilities","L","Value","WMN","Women","PC","Percentage","0","Units",,,0.1,"E","Estimated value"
"MEX","Mexico","HO_BASE","Dwellings without basic facilities","L","Value","WMN","Women","PC","Percentage","0","Units",,,4.2,"E","Estimated value"
"NLD","Netherlands","HO_BASE","Dwellings without basic facilities","L","Value","WMN","Women","PC","Percentage","0","Units",,,0,"E","Estimated value"
"NZL","New Zealand","HO_BASE","Dwellings without basic facilities","L","Value","WMN","Women","PC","Percentage","0","Units",,,0.3,"E","Estimated value"
"NOR","Norway","HO_BASE","Dwellings without basic facilities","L","Value","WMN","Women","PC","Percentage","0","Units",,,0,"E","Estimated value"
"POL","Poland","HO_BASE","Dwellings without basic facilities","L","Value","WMN","Women","PC","Percentage","0","Units",,,3.1,"E","Estimated value"
"PRT","Portugal","HO_BASE","Dwellings without basic facilities","L","Value","WMN","Women","PC","Percentage","0","Units",,,1,"E","Estimated value"
"SVK","Slovak Republic","HO_BASE","Dwellings without basic facilities","L","Value","WMN","Women","PC","Percentage","0","Units",,,1.3,"E","Estimated value"
"ESP","Spain","HO_BASE","Dwellings without basic facilities","L","Value","WMN","Women","PC","Percentage","0","Units",,,0.1,"E","Estimated value"
"SWE","Sweden","HO_BASE","Dwellings without basic facilities","L","Value","WMN","Women","PC","Percentage","0","Units",,,0,"E","Estimated value"
"CHE","Switzerland","HO_BASE","Dwellings without basic facilities","L","Value","WMN","Women","PC","Percentage","0","Units",,,0,"E","Estimated value"
"TUR","Turkey","HO_BASE","Dwellings without basic facilities","L","Value","WMN","Women","PC","Percentage","0","Units",,,7.6,"E","Estimated value"
"GBR","United Kingdom","HO_BASE","Dwellings without basic facilities","L","Value","WMN","Women","PC","Percentage","0","Units",,,0.4,"E","Estimated value"
"USA","United States","HO_BASE","Dwellings without basic facilities","L","Value","WMN","Women","PC","Percentage","0","Units",,,0.1,"E","Estimated value"
"BRA","Brazil","HO_BASE","Dwellings without basic facilities","L","Value","WMN","Women","PC","Percentage","0","Units",,,6.7,"E","Estimated value"
"CHL","Chile","HO_BASE","Dwellings without basic facilities","L","Value","WMN","Women","PC","Percentage","0","Units",,,9.4,"E","Estimated value"
"EST","Estonia","HO_BASE","Dwellings without basic facilities","L","Value","WMN","Women","PC","Percentage","0","Units",,,7.2,"E","Estimated value"
"ISR","Israel","HO_BASE","Dwellings without basic facilities","L","Value","WMN","Women","PC","Percentage","0","Units",,,4.4,"E","Estimated value"
"RUS","Russia","HO_BASE","Dwellings without basic facilities","L","Value","WMN","Women","PC","Percentage","0","Units",,,14.4,"E","Estimated value"
"SVN","Slovenia","HO_BASE","Dwellings without basic facilities","L","Value","WMN","Women","PC","Percentage","0","Units",,,0.6,"E","Estimated value"
"AUS","Australia","HO_HISH","Housing expenditure","L","Value","TOT","Total","PC","Percentage","0","Units",,,20,,
"AUT","Austria","HO_HISH","Housing expenditure","L","Value","TOT","Total","PC","Percentage","0","Units",,,21,,
"BEL","Belgium","HO_HISH","Housing expenditure","L","Value","TOT","Total","PC","Percentage","0","Units",,,21,,
"CAN","Canada","HO_HISH","Housing expenditure","L","Value","TOT","Total","PC","Percentage","0","Units",,,21,,
"CZE","Czech Republic","HO_HISH","Housing expenditure","L","Value","TOT","Total","PC","Percentage","0","Units",,,26,,
"DNK","Denmark","HO_HISH","Housing expenditure","L","Value","TOT","Total","PC","Percentage","0","Units",,,25,,
"FIN","Finland","HO_HISH","Housing expenditure","L","Value","TOT","Total","PC","Percentage","0","Units",,,22,,
"FRA","France","HO_HISH","Housing expenditure","L","Value","TOT","Total","PC","Percentage","0","Units",,,21,,
"DEU","Germany","HO_HISH","Housing expenditure","L","Value","TOT","Total","PC","Percentage","0","Units",,,22,,
"GRC","Greece","HO_HISH","Housing expenditure","L","Value","TOT","Total","PC","Percentage","0","Units",,,26,,
"HUN","Hungary","HO_HISH","Housing expenditure","L","Value","TOT","Total","PC","Percentage","0","Units",,,20,,
"ISL","Iceland","HO_HISH","Housing expenditure","L","Value","TOT","Total","PC","Percentage","0","Units",,,24,,
"IRL","Ireland","HO_HISH","Housing expenditure","L","Value","TOT","Total","PC","Percentage","0","Units",,,20,,
"ITA","Italy","HO_HISH","Housing expenditure","L","Value","TOT","Total","PC","Percentage","0","Units",,,24,,
"JPN","Japan","HO_HISH","Housing expenditure","L","Value","TOT","Total","PC","Percentage","0","Units",,,22,,
"KOR","Korea","HO_HISH","Housing expenditure","L","Value","TOT","Total","PC","Percentage","0","Units",,,16,,
"LUX","Luxembourg","HO_HISH","Housing expenditure","L","Value","TOT","Total","PC","Percentage","0","Units",,,21,"E","Estimated value"
"MEX","Mexico","HO_HISH","Housing expenditure","L","Value","TOT","Total","PC","Percentage","0","Units",,,22,,
"NLD","Netherlands","HO_HISH","Housing expenditure","L","Value","TOT","Total","PC","Percentage","0","Units",,,19,,
"NZL","New Zealand","HO_HISH","Housing expenditure","L","Value","TOT","Total","PC","Percentage","0","Units",,,23,,
"NOR","Norway","HO_HISH","Housing expenditure","L","Value","TOT","Total","PC","Percentage","0","Units",,,18,,
"POL","Poland","HO_HISH","Housing expenditure","L","Value","TOT","Total","PC","Percentage","0","Units",,,22,,
"PRT","Portugal","HO_HISH","Housing expenditure","L","Value","TOT","Total","PC","Percentage","0","Units",,,19,,
"SVK","Slovak Republic","HO_HISH","Housing expenditure","L","Value","TOT","Total","PC","Percentage","0","Units",,,25,,
"ESP","Spain","HO_HISH","Housing expenditure","L","Value","TOT","Total","PC","Percentage","0","Units",,,23,,
"SWE","Sweden","HO_HISH","Housing expenditure","L","Value","TOT","Total","PC","Percentage","0","Units",,,20,,
"CHE","Switzerland","HO_HISH","Housing expenditure","L","Value","TOT","Total","PC","Percentage","0","Units",,,22,,
"TUR","Turkey","HO_HISH","Housing expenditure","L","Value","TOT","Total","PC","Percentage","0","Units",,,21,"E","Estimated value"
"GBR","United Kingdom","HO_HISH","Housing expenditure","L","Value","TOT","Total","PC","Percentage","0","Units",,,23,,
"USA","United States","HO_HISH","Housing expenditure","L","Value","TOT","Total","PC","Percentage","0","Units",,,19,,
"BRA","Brazil","HO_HISH","Housing expenditure","L","Value","TOT","Total","PC","Percentage","0","Units",,,21,"E","Estimated value"
"CHL","Chile","HO_HISH","Housing expenditure","L","Value","TOT","Total","PC","Percentage","0","Units",,,18,,
"EST","Estonia","HO_HISH","Housing expenditure","L","Value","TOT","Total","PC","Percentage","0","Units",,,19,,
"ISR","Israel","HO_HISH","Housing expenditure","L","Value","TOT","Total","PC","Percentage","0","Units",,,21,"E","Estimated value"
"RUS","Russia","HO_HISH","Housing expenditure","L","Value","TOT","Total","PC","Percentage","0","Units",,,11,,
"SVN","Slovenia","HO_HISH","Housing expenditure","L","Value","TOT","Total","PC","Percentage","0","Units",,,19,,
"OECD","OECD - Total","HO_HISH","Housing expenditure","L","Value","TOT","Total","PC","Percentage","0","Units",,,21,,
"AUS","Australia","HO_HISH","Housing expenditure","L","Value","MN","Men","PC","Percentage","0","Units",,,20,"E","Estimated value"
"AUT","Austria","HO_HISH","Housing expenditure","L","Value","MN","Men","PC","Percentage","0","Units",,,21,"E","Estimated value"
"BEL","Belgium","HO_HISH","Housing expenditure","L","Value","MN","Men","PC","Percentage","0","Units",,,21,"E","Estimated value"
"CAN","Canada","HO_HISH","Housing expenditure","L","Value","MN","Men","PC","Percentage","0","Units",,,21,"E","Estimated value"
"CZE","Czech Republic","HO_HISH","Housing expenditure","L","Value","MN","Men","PC","Percentage","0","Units",,,26,"E","Estimated value"
"DNK","Denmark","HO_HISH","Housing expenditure","L","Value","MN","Men","PC","Percentage","0","Units",,,25,"E","Estimated value"
"FIN","Finland","HO_HISH","Housing expenditure","L","Value","MN","Men","PC","Percentage","0","Units",,,22,"E","Estimated value"
"FRA","France","HO_HISH","Housing expenditure","L","Value","MN","Men","PC","Percentage","0","Units",,,21,"E","Estimated value"
"DEU","Germany","HO_HISH","Housing expenditure","L","Value","MN","Men","PC","Percentage","0","Units",,,22,"E","Estimated value"
"GRC","Greece","HO_HISH","Housing expenditure","L","Value","MN","Men","PC","Percentage","0","Units",,,26,"E","Estimated value"
"HUN","Hungary","HO_HISH","Housing expenditure","L","Value","MN","Men","PC","Percentage","0","Units",,,20,"E","Estimated value"
"ISL","Iceland","HO_HISH","Housing expenditure","L","Value","MN","Men","PC","Percentage","0","Units",,,24,"E","Estimated value"
"IRL","Ireland","HO_HISH","Housing expenditure","L","Value","MN","Men","PC","Percentage","0","Units",,,20,"E","Estimated value"
"ITA","Italy","HO_HISH","Housing expenditure","L","Value","MN","Men","PC","Percentage","0","Units",,,24,"E","Estimated value"
"JPN","Japan","HO_HISH","Housing expenditure","L","Value","MN","Men","PC","Percentage","0","Units",,,22,"E","Estimated value"
"KOR","Korea","HO_HISH","Housing expenditure","L","Value","MN","Men","PC","Percentage","0","Units",,,16,"E","Estimated value"
"LUX","Luxembourg","HO_HISH","Housing expenditure","L","Value","MN","Men","PC","Percentage","0","Units",,,21,"E","Estimated value"
"MEX","Mexico","HO_HISH","Housing expenditure","L","Value","MN","Men","PC","Percentage","0","Units",,,22,"E","Estimated value"
"NLD","Netherlands","HO_HISH","Housing expenditure","L","Value","MN","Men","PC","Percentage","0","Units",,,19,"E","Estimated value"
"NZL","New Zealand","HO_HISH","Housing expenditure","L","Value","MN","Men","PC","Percentage","0","Units",,,23,"E","Estimated value"
"NOR","Norway","HO_HISH","Housing expenditure","L","Value","MN","Men","PC","Percentage","0","Units",,,18,"E","Estimated value"
"POL","Poland","HO_HISH","Housing expenditure","L","Value","MN","Men","PC","Percentage","0","Units",,,22,"E","Estimated value"
"PRT","Portugal","HO_HISH","Housing expenditure","L","Value","MN","Men","PC","Percentage","0","Units",,,19,"E","Estimated value"
"SVK","Slovak Republic","HO_HISH","Housing expenditure","L","Value","MN","Men","PC","Percentage","0","Units",,,25,"E","Estimated value"
"ESP","Spain","HO_HISH","Housing expenditure","L","Value","MN","Men","PC","Percentage","0","Units",,,23,"E","Estimated value"
"SWE","Sweden","HO_HISH","Housing expenditure","L","Value","MN","Men","PC","Percentage","0","Units",,,20,"E","Estimated value"
"CHE","Switzerland","HO_HISH","Housing expenditure","L","Value","MN","Men","PC","Percentage","0","Units",,,22,"E","Estimated value"
"TUR","Turkey","HO_HISH","Housing expenditure","L","Value","MN","Men","PC","Percentage","0","Units",,,21,"E","Estimated value"
"GBR","United Kingdom","HO_HISH","Housing expenditure","L","Value","MN","Men","PC","Percentage","0","Units",,,23,"E","Estimated value"
"USA","United States","HO_HISH","Housing expenditure","L","Value","MN","Men","PC","Percentage","0","Units",,,19,"E","Estimated value"
"BRA","Brazil","HO_HISH","Housing expenditure","L","Value","MN","Men","PC","Percentage","0","Units",,,21,"E","Estimated value"
"CHL","Chile","HO_HISH","Housing expenditure","L","Value","MN","Men","PC","Percentage","0","Units",,,18,"E","Estimated value"
"EST","Estonia","HO_HISH","Housing expenditure","L","Value","MN","Men","PC","Percentage","0","Units",,,19,"E","Estimated value"
"ISR","Israel","HO_HISH","Housing expenditure","L","Value","MN","Men","PC","Percentage","0","Units",,,21,"E","Estimated value"
"RUS","Russia","HO_HISH","Housing expenditure","L","Value","MN","Men","PC","Percentage","0","Units",,,11,"E","Estimated value"
"SVN","Slovenia","HO_HISH","Housing expenditure","L","Value","MN","Men","PC","Percentage","0","Units",,,19,"E","Estimated value"
"AUS","Australia","HO_HISH","Housing expenditure","L","Value","WMN","Women","PC","Percentage","0","Units",,,20,"E","Estimated value"
"AUT","Austria","HO_HISH","Housing expenditure","L","Value","WMN","Women","PC","Percentage","0","Units",,,21,"E","Estimated value"
"BEL","Belgium","HO_HISH","Housing expenditure","L","Value","WMN","Women","PC","Percentage","0","Units",,,21,"E","Estimated value"
"CAN","Canada","HO_HISH","Housing expenditure","L","Value","WMN","Women","PC","Percentage","0","Units",,,21,"E","Estimated value"
"CZE","Czech Republic","HO_HISH","Housing expenditure","L","Value","WMN","Women","PC","Percentage","0","Units",,,26,"E","Estimated value"
"DNK","Denmark","HO_HISH","Housing expenditure","L","Value","WMN","Women","PC","Percentage","0","Units",,,25,"E","Estimated value"
"FIN","Finland","HO_HISH","Housing expenditure","L","Value","WMN","Women","PC","Percentage","0","Units",,,22,"E","Estimated value"
"FRA","France","HO_HISH","Housing expenditure","L","Value","WMN","Women","PC","Percentage","0","Units",,,21,"E","Estimated value"
"DEU","Germany","HO_HISH","Housing expenditure","L","Value","WMN","Women","PC","Percentage","0","Units",,,22,"E","Estimated value"
"GRC","Greece","HO_HISH","Housing expenditure","L","Value","WMN","Women","PC","Percentage","0","Units",,,26,"E","Estimated value"
"HUN","Hungary","HO_HISH","Housing expenditure","L","Value","WMN","Women","PC","Percentage","0","Units",,,20,"E","Estimated value"
"ISL","Iceland","HO_HISH","Housing expenditure","L","Value","WMN","Women","PC","Percentage","0","Units",,,24,"E","Estimated value"
"IRL","Ireland","HO_HISH","Housing expenditure","L","Value","WMN","Women","PC","Percentage","0","Units",,,20,"E","Estimated value"
"ITA","Italy","HO_HISH","Housing expenditure","L","Value","WMN","Women","PC","Percentage","0","Units",,,24,"E","Estimated value"
"JPN","Japan","HO_HISH","Housing expenditure","L","Value","WMN","Women","PC","Percentage","0","Units",,,22,"E","Estimated value"
"KOR","Korea","HO_HISH","Housing expenditure","L","Value","WMN","Women","PC","Percentage","0","Units",,,16,"E","Estimated value"
"LUX","Luxembourg","HO_HISH","Housing expenditure","L","Value","WMN","Women","PC","Percentage","0","Units",,,21,"E","Estimated value"
"MEX","Mexico","HO_HISH","Housing expenditure","L","Value","WMN","Women","PC","Percentage","0","Units",,,22,"E","Estimated value"
"NLD","Netherlands","HO_HISH","Housing expenditure","L","Value","WMN","Women","PC","Percentage","0","Units",,,19,"E","Estimated value"
"NZL","New Zealand","HO_HISH","Housing expenditure","L","Value","WMN","Women","PC","Percentage","0","Units",,,23,"E","Estimated value"
"NOR","Norway","HO_HISH","Housing expenditure","L","Value","WMN","Women","PC","Percentage","0","Units",,,18,"E","Estimated value"
"POL","Poland","HO_HISH","Housing expenditure","L","Value","WMN","Women","PC","Percentage","0","Units",,,22,"E","Estimated value"
"PRT","Portugal","HO_HISH","Housing expenditure","L","Value","WMN","Women","PC","Percentage","0","Units",,,19,"E","Estimated value"
"SVK","Slovak Republic","HO_HISH","Housing expenditure","L","Value","WMN","Women","PC","Percentage","0","Units",,,25,"E","Estimated value"
"ESP","Spain","HO_HISH","Housing expenditure","L","Value","WMN","Women","PC","Percentage","0","Units",,,23,"E","Estimated value"
"SWE","Sweden","HO_HISH","Housing expenditure","L","Value","WMN","Women","PC","Percentage","0","Units",,,20,"E","Estimated value"
"CHE","Switzerland","HO_HISH","Housing expenditure","L","Value","WMN","Women","PC","Percentage","0","Units",,,22,"E","Estimated value"
"TUR","Turkey","HO_HISH","Housing expenditure","L","Value","WMN","Women","PC","Percentage","0","Units",,,21,"E","Estimated value"
"GBR","United Kingdom","HO_HISH","Housing expenditure","L","Value","WMN","Women","PC","Percentage","0","Units",,,23,"E","Estimated value"
"USA","United States","HO_HISH","Housing expenditure","L","Value","WMN","Women","PC","Percentage","0","Units",,,19,"E","Estimated value"
"BRA","Brazil","HO_HISH","Housing expenditure","L","Value","WMN","Women","PC","Percentage","0","Units",,,21,"E","Estimated value"
"CHL","Chile","HO_HISH","Housing expenditure","L","Value","WMN","Women","PC","Percentage","0","Units",,,18,"E","Estimated value"
"EST","Estonia","HO_HISH","Housing expenditure","L","Value","WMN","Women","PC","Percentage","0","Units",,,19,"E","Estimated value"
"ISR","Israel","HO_HISH","Housing expenditure","L","Value","WMN","Women","PC","Percentage","0","Units",,,21,"E","Estimated value"
